iter	Accuracy	MultiClass
0	0.1833860759	4.105738874
1	0.210583685	3.913023305
2	0.2235583685	3.768737966
3	0.2336673699	3.633138224
4	0.2390910689	3.517401327
5	0.2426599859	3.418729141
6	0.2435214487	3.333518453
7	0.2590189873	3.253820215
8	0.266552391	3.179297139
9	0.2694708158	3.113434155
10	0.2796940928	3.047872444
11	0.2847046414	2.9846735
12	0.2898030942	2.929200733
13	0.2970376231	2.878370885
14	0.2989978903	2.83963518
15	0.3048962729	2.798893971
16	0.3084388186	2.760546351
17	0.3118319269	2.719045821
18	0.3148646273	2.681864529
19	0.3170446554	2.650368276
20	0.319031294	2.623508913
21	0.320402602	2.596779444
22	0.3218266526	2.567884214
23	0.3246747539	2.541653814
24	0.3271536568	2.515238519
25	0.330019339	2.492856435
26	0.3312236287	2.469707253
27	0.333649789	2.448008626
28	0.3348892405	2.431070841
29	0.3369198312	2.407084061
30	0.3382559775	2.383157672
31	0.340866737	2.367357133
32	0.3411216596	2.353415604
33	0.3432313643	2.339653873
34	0.3436181435	2.322715604
35	0.3448048523	2.307035428
36	0.345947609	2.291651383
37	0.3476353727	2.27792113
38	0.3487869198	2.261680438
39	0.3503252461	2.247385912
40	0.3520305907	2.237063245
41	0.3526371308	2.224923275
42	0.3538238397	2.211059011
43	0.3548171589	2.198847224
44	0.3556170886	2.186841047
45	0.3564082278	2.175363517
46	0.3574630802	2.165275113
47	0.3582542194	2.156160586
48	0.3593969761	2.146110808
49	0.3603463432	2.133073839
50	0.3610056259	2.123328272
51	0.3612781294	2.11592
52	0.3623329817	2.107631053
53	0.3628164557	2.101482183
54	0.3639064698	2.092689159
55	0.3642668776	2.08368539
56	0.3650052743	2.074834303
57	0.3652074543	2.0673484
58	0.3657788326	2.060820928
59	0.3671149789	2.050947887
60	0.368266526	2.044782265
61	0.3689609705	2.037339124
62	0.3696642053	2.03131068
63	0.3701740506	2.025095296
64	0.3705520394	2.017641633
65	0.3707630098	2.011820326
66	0.371228903	2.006216051
67	0.3714047117	2.00033575
68	0.3718178622	1.993606239
69	0.3723364979	1.988707718
70	0.3729518284	1.982154691
71	0.3735671589	1.976140894
72	0.373690225	1.971262135
73	0.3742440225	1.966214076
74	0.3750879044	1.961050867
75	0.3755625879	1.955955497
76	0.3756504923	1.950366603
77	0.3760988045	1.944765734
78	0.3763976793	1.940055996
79	0.3767580872	1.934564379
80	0.3774876934	1.92912236
81	0.3778568917	1.923931962
82	0.3783843179	1.919678551
83	0.3789556962	1.915203827
84	0.3792457806	1.912418806
85	0.3796325598	1.907297574
86	0.3798523207	1.903267587
87	0.3803973277	1.897942965
88	0.3808280591	1.894798699
89	0.3811620956	1.890372058
90	0.3821026723	1.88589927
91	0.3827531646	1.881811914
92	0.3828322785	1.878314739
93	0.3829729255	1.874219019
94	0.3833157525	1.870250298
95	0.3833597046	1.867492332
96	0.3840805204	1.864153686
97	0.3842299578	1.860711994
98	0.3847046414	1.856962386
99	0.3847749648	1.853500118
