iter	Passed	Remaining
0	3131	3128794
1	6063	3025643
2	9276	3083044
3	12462	3103199
4	15613	3107128
5	18424	3052271
6	21503	3050423
7	24270	3009541
8	27236	2999036
9	29787	2949002
10	32451	2917643
11	34736	2860010
12	37723	2864052
13	40687	2865538
14	43411	2850670
15	46029	2830843
16	48986	2832565
17	52036	2838866
18	55037	2841656
19	57434	2814308
20	60448	2818071
21	63521	2823805
22	66240	2813789
23	69319	2819010
24	72523	2828426
25	74773	2801146
26	77546	2794537
27	80443	2792551
28	83507	2796048
29	86536	2798026
30	89224	2788993
31	91981	2782448
32	94847	2779328
33	97943	2782744
34	99757	2750447
35	102465	2743790
36	104872	2729510
37	107596	2723882
38	110634	2726143
39	113397	2721549
40	116418	2723049
41	119407	2723625
42	121791	2710559
43	124487	2704779
44	126864	2692349
45	129286	2681285
46	132268	2681956
47	135406	2685567
48	138557	2689144
49	140542	2670308
50	143060	2662047
51	146233	2665955
52	149095	2664031
53	152082	2664259
54	154780	2659416
55	157750	2659226
56	160543	2656016
57	163886	2661748
58	166440	2654589
59	168748	2643733
60	171731	2643539
61	174839	2645157
62	177758	2643802
63	180584	2641046
64	183622	2641335
65	186131	2634045
66	188958	2631323
67	191982	2631282
68	195008	2631200
69	198081	2631647
70	200851	2628037
71	203948	2628664
72	207015	2628817
73	210002	2627864
74	212907	2625859
75	215846	2624233
76	218793	2622677
77	221930	2623334
78	224873	2621626
79	227558	2616923
80	230536	2615593
81	233380	2612727
82	235811	2605295
83	238695	2602915
84	241663	2601434
85	244363	2597070
86	247211	2594295
87	250457	2595646
88	253161	2591350
89	256637	2594893
90	259980	2596951
91	263268	2598342
92	266914	2603136
93	270246	2604713
94	273043	2601099
95	276265	2601500
96	279228	2599419
97	282545	2600570
98	285869	2601701
99	288899	2600091
100	291559	2595172
101	293350	2582634
102	296024	2578003
103	298751	2573855
104	301751	2572072
105	304296	2566421
106	306594	2558771
107	309276	2554391
108	312477	2554288
109	315474	2552474
110	317840	2545583
111	320999	2545064
112	323439	2538860
113	326173	2534994
114	328569	2528552
115	331130	2523446
116	333754	2518846
117	336753	2517092
118	339722	2515085
119	343069	2515842
120	345930	2512998
121	349059	2512086
122	352279	2511777
123	354682	2505659
124	357808	2504662
125	360836	2502947
126	364129	2503033
127	366844	2499127
128	369983	2498104
129	373185	2497474
130	376472	2497361
131	379425	2495010
132	382604	2494123
133	385538	2491614
134	387686	2484063
135	390875	2483209
136	392854	2474695
137	395293	2469150
138	398181	2466432
139	401003	2463308
140	404125	2462014
141	407356	2461348
142	410492	2460085
143	413447	2457713
144	416270	2454558
145	419334	2452821
146	422508	2451697
147	425827	2451383
148	428671	2448316
149	432044	2448250
150	434926	2445381
151	437853	2442764
152	440214	2437002
153	443057	2433936
154	446541	2434370
155	449727	2433138
156	452766	2431096
157	455367	2426703
158	457917	2422067
159	460977	2420133
160	464304	2419573
161	467352	2417538
162	470400	2415492
163	473312	2412741
164	475971	2408704
165	478711	2405093
166	481465	2401561
167	484103	2397462
168	486263	2391037
169	488979	2387368
170	491770	2384081
171	494517	2380584
172	497289	2377214
173	500065	2373875
174	502633	2369557
175	505467	2366509
176	508636	2365014
177	511931	2364086
178	514980	2362004
179	517385	2356980
180	519589	2351071
181	521323	2343090
182	524187	2340226
183	526527	2335035
184	529124	2331007
185	531700	2326903
186	534570	2324094
187	537615	2322039
188	540106	2317598
189	542350	2312126
190	545718	2311447
191	548961	2310212
192	551986	2308047
193	554923	2305506
194	557222	2300327
195	560344	2298554
196	563548	2297104
197	566815	2295890
198	569828	2293633
199	572961	2291845
200	576269	2290744
201	579188	2288079
202	581959	2284837
203	585216	2283490
204	588051	2280492
205	591076	2278227
206	593859	2275026
207	596699	2272049
208	599446	2268718
209	602620	2267000
210	605269	2263304
211	608466	2261657
212	611165	2258154
213	613034	2251612
214	616357	2250423
215	619847	2249815
216	623351	2249235
217	626184	2246221
218	630082	2247008
219	634159	2248382
220	636949	2245174
221	640007	2242909
222	643071	2240657
