Crop;Companions;Notes
Apple;Chives,Garlic,Marigold;Garlic repels borers, marigold deters nematodes, chives improve apple flavor
Arecanut;Black Pepper,Turmeric,Ginger;Pepper and turmeric thrive under shade and improve soil health
Bajra;Cowpea,Groundnut,Pigeonpeas;Cowpea fixes nitrogen, pigeonpeas improve soil structure
Barley;Peas,Mustard,Flax;Peas fix nitrogen, mustard repels pests, flax improves soil texture
Banana;Legumes,Ginger,Turmeric;Legumes fix nitrogen, ginger and turmeric suppress weeds
Beans;Corn,Radish,Carrot;Corn provides support, radish loosens soil, carrot improves aeration
Beets;Onion,Cabbage,Lettuce;Onion deters pests, lettuce provides shade, cabbage adds organic matter
Borage;Tomato,Strawberry,Cabbage;Attracts pollinators, repels tomato hornworm
Basil;Tomato,Peppers,Oregano;Improves tomato flavor, repels insects
Blackgram;Maize,Sesamum,Sorghum;Provides nitrogen, sesamum acts as trap crop
Cashewnut;Pineapple,Ginger,Turmeric;Pineapple acts as ground cover, ginger improves soil health
Cabbage;Onion,Dill,Beets;Onion deters caterpillars, dill attracts predatory insects
Carrot;Onion,Leek,Peas;Onion deters carrot fly, peas add nitrogen
Cardamom;Arecanut,Coffee,Ginger;Grows well under shade of arecanut and coffee
Castor Seed;Cotton,Turmeric,Soyabean;Acts as pest repellent and provides shade
Celery;Leek,Onion,Tomato;Leek deters pests, tomato improves soil microbe activity
Chickpea;Mustard,Linseed,Barley;Mustard acts as trap crop, linseed improves soil aeration
Coffee;Banana,Cardamom,Black Pepper;Banana provides shade, pepper improves yield sustainability
Coconut;Pineapple,Banana,Turmeric;Pineapple acts as cover crop, banana supports microclimate
Coriander;Spinach,Onion,Carrot;Repels aphids, improves soil fertility
Corn;Beans,Pumpkin,Cucumber;Beans fix nitrogen, pumpkin acts as ground cover
Cotton;Castor,Maize,Sunflower;Castor repels pests, maize provides wind protection
Cowpea;Maize,Sorghum,Millet;Improves soil fertility and provides ground cover
Cucumber;Corn,Radish,Beans;Beans fix nitrogen, radish loosens soil
Dill;Cabbage,Onion,Lettuce;Attracts beneficial insects and improves pollination
Dry Chillies;Onion,Garlic,Marigold;Onion and garlic repel pests, marigold deters nematodes
